organisation_slug,nuance_code,confiance,raison
parti-communiste-francais,LCOM,EXACTE,"La nuance « liste communiste » du ministère de l'Intérieur désigne les listes du PCF. Correspondance de dénomination."
la-france-insoumise,LFI,EXACTE,"La nuance « liste La France insoumise » porte le nom du mouvement."
les-ecologistes,LVEC,EXACTE,"La nuance « liste écologiste » désigne les listes des Écologistes (ex-EELV)."
les-republicains,LLR,EXACTE,"La nuance « liste Les Républicains » porte le nom du parti."
parti-socialiste,LSOC,EXACTE,"La nuance « liste socialiste » désigne les listes du PS."
renaissance,LREN,EXACTE,"La nuance « liste Renaissance » porte le nom du parti."
horizons,LHOR,EXACTE,"La nuance « liste Horizons » porte le nom du parti."
debout-la-france,,AUCUNE,"Aucune nuance ne désigne Debout la France. Ses listes sont réparties dans les nuances « divers droite » ou « union à droite », qui recouvrent bien d'autres formations."
generation-ecologie,,AUCUNE,"Aucune nuance propre. LVEC désigne les Écologistes, pas Génération écologie."
les-patriotes,,AUCUNE,"Aucune nuance propre. LEXD est un agrégat d'extrême droite qui recouvre plusieurs formations."
lutte-ouvriere,,AUCUNE,"LEXG est un agrégat d'extrême gauche, pas la nuance de Lutte ouvrière."
nouvelle-energie,,AUCUNE,"Parti récent, sans nuance propre au répertoire du ministère."
union-populaire-republicaine,,AUCUNE,"Aucune nuance propre."
