# Explications, EN FRANÇAIS, des catégories et dimensions employées par les
# référentiels tiers, et de la façon dont elles sont attribuées.
#
# CES TEXTES SONT LES NÔTRES, pas ceux des référentiels. Ils expliquent une
# méthode, ils ne la reprennent pas mot pour mot et ne l'endossent pas. La
# catégorie elle-même reste toujours affichée dans le vocabulaire d'origine :
# « far right » n'est pas traduit en « extrême droite », parce que ce ne sont
# pas les mêmes objets.
#
# type : METHODE (une ligne par référentiel) ou TAG (une par catégorie/dimension)
type,set_slug,cle,libelle_fr,texte_fr
METHODE,populist-v4,,The PopuList 4.0,"Classification qualitative construite par des chercheurs en science politique (Rooduijn et al.). Des spécialistes comparatistes et des spécialistes de chaque pays confrontent leurs appréciations jusqu'à un accord, parti par parti. Sont retenus les partis ayant obtenu au moins un siège ou 2 % des voix à une élection législative nationale depuis le 1er janvier 1989. Une catégorie est DATÉE : un parti peut n'y entrer qu'à partir d'une certaine année. Les catégories ne sont pas exclusives : un même parti peut porter plusieurs étiquettes."
TAG,populist-v4,populist,Populiste,"Au sens de la littérature comparée : un discours qui oppose un « peuple » présenté comme homogène et vertueux à une « élite » présentée comme corrompue, et qui fait de la volonté populaire la seule source légitime du pouvoir. C'est une caractérisation du DISCOURS et de la structure idéologique, pas un jugement sur la sincérité, la compétence ou la dangerosité. Le populisme se combine à une idéologie de gauche ou de droite ; il n'en est pas une."
TAG,populist-v4,farright,Far right,"NE PAS TRADUIRE PAR « EXTRÊME DROITE ». La littérature comparée distingue deux choses que le français confond : radical — rejette la démocratie libérale, ses contre-pouvoirs et la protection des minorités, mais accepte l'élection et la souveraineté populaire — et extrême — rejette la démocratie elle-même. PopuList range sous « far right » les deux, avec au cœur le nativisme (l'État doit être habité exclusivement par les membres du groupe natif) et l'autoritarisme. Ce que le français appelle « extrême droite » correspond généralement à ce que cette littérature appelle « droite radicale populiste »."
TAG,populist-v4,farleft,Far left,"Même distinction qu'à droite. Est rangée ici une formation qui rejette le capitalisme et veut une transformation profonde de l'ordre socio-économique. La gauche radicale veut transformer la démocratie — démocratie directe, inclusion des groupes marginalisés — sans être antidémocratique ; l'extrême gauche dénonce la démocratie libérale comme un compromis avec les forces bourgeoises. « Far left » recouvre les deux."
TAG,populist-v4,eurosceptic,Eurosceptique,"Opposition à l'intégration européenne dans sa forme actuelle ou dans son principe. La catégorie ne distingue pas l'euroscepticisme « dur » — sortie de l'Union ou de l'euro — de l'euroscepticisme « mou » — opposition à certaines politiques ou à l'approfondissement. Elle ne dit donc rien du degré."
METHODE,ches-2024,,Chapel Hill Expert Survey 2024,"Enquête auprès de spécialistes universitaires des partis politiques, menée par vagues depuis 1999 — 2024 est la septième. Pour chaque parti, plusieurs experts attribuent une note ; le chiffre publié est la MOYENNE de leurs appréciations. Ce n'est donc ni une mesure ni un vote : c'est une opinion savante agrégée, avec une dispersion que la moyenne masque. Les scores vont de 0 à 10."
TAG,ches-2024,lrgen,Position gauche-droite générale,"0 = extrême gauche, 10 = extrême droite. Appréciation globale de la position du parti sur l'axe gauche-droite tel qu'il est compris dans le pays considéré. Cet axe n'a pas le même contenu d'un pays à l'autre : comparer un score français et un score hongrois n'a qu'un sens limité."
TAG,ches-2024,lrecon,Position économique,"0 = à gauche sur l'économie — redistribution, impôts progressifs, dépense publique, régulation ; 10 = à droite — baisse d'impôts, dérégulation, réduction de la dépense. Un parti peut être très à gauche économiquement et conservateur sur les questions de société, et réciproquement : c'est précisément ce que l'axe suivant sert à mesurer."
TAG,ches-2024,galtan,Axe GAL-TAN,"0 = GAL (green, alternative, libertarian) : libertés individuelles, droits des minorités, écologie politique, démocratie participative. 10 = TAN (traditional, authoritarian, nationalist) : ordre, tradition, autorité, souveraineté nationale. Cet axe est distinct de l'axe économique, et la littérature récente le considère comme le clivage montant en Europe."
TAG,ches-2024,eu_position,Position sur l'intégration européenne,"0 = opposition forte à l'intégration européenne, 10 = soutien fort. Mesure l'orientation générale du parti sur la construction européenne, pas son vote sur un texte particulier."
TAG,ches-2024,immigrate_policy,Politique d'immigration,"0 = politique d'immigration très ouverte, 10 = politique très restrictive. Porte sur la position affichée du parti, telle qu'appréciée par les experts, et non sur des décisions prises."
